penalty_num,Trade name,Suburb,Council,Date,Party served,Notes,address,offence,description,amount
7250555630,ABB AIR THAI CUISINE,SYDNEY,City of Sydney,2018-07-25,DOUBLE DOT PTY LTD,,"SHOP 9.60, 644 GEORGE STREET SYDNEY 2000",11339 - Fail to comply with Food Standards Code - Corporation,"Fail to maintain all fixtures, fittings and equipment to the required standard of cleanliness - previous warning given",880
3120311179,ABC CAR WASH,BLACKTOWN,Blacktown,2017-11-15,KUMAR AND INDU INVESTMENTS PTY LTD,,148 SUNNYHOLT ROAD BLACKTOWN 2148,11339 - Fail to comply with Food Standards Code - Corporation,Fail to have a temperature measuring device at the premises where potentially hazardous food is handled - previous warning given,880
3176048242,ABLA'S PATISSERIE,LIVERPOOL,Liverpool,2018-07-26,ABLA'S CO PATISSERIE LIVERPOOL PTY LTD,,333-335 MACQUARIE STREET LIVERPOOL 2170,11339 - Fail to comply with Food Standards Code - Corporation,"Fail to maintain premises, fixtures, fittings, and equipment in a good state of repair and working order having regard to their use",880
3107290661,ABODE THAI CUISINE,BRIGHTON-LE-SANDS,Bayside,2018-07-12,ABODE THAI CUISINE PTY LTD,,323 BAY STREET BRIGHTON-LE-SANDS 2216,11339 - Fail to comply with Food Standards Code - Corporation,Fail to take all practicable measures to prevent pests entering the food premises,880
3167477309,ABOUT LIFE BONDI JUNCTION,BONDI JUNCTION,Waverley,2018-03-29,ABOUT LIFE PTY LTD,,31-37 OXFORD STREET Bondi Junction 2022,11339 - Fail to comply with Food Standards Code - Corporation,"Fail to ensure hand washing facilities are only used for the washing of hands, arms and face - previous warning given",880
3167477290,ABOUT LIFE BONDI JUNCTION,BONDI JUNCTION,Waverley,2018-03-29,ABOUT LIFE PTY LTD,,31-37 OXFORD STREET Bondi Junction 2022,11339 - Fail to comply with Food Standards Code - Corporation,Fail to maintain the food premises to the required standard of cleanliness - previous warning given,880
3149083998,ABSOLUTE THAI HORNSBY,HORNSBY,Hornsby,2018-11-08,ABSOLUTE THAI HORNSBY PTY LTD,,31 HUNTER STREET HORNSBY 2077,11339 - Fail to comply with Food Standards Code - Corporation,Fail to ensure food contact surfaces of equipment is in a clean and sanitary condition,880
3175922604,ABU HUSSEIN,SOUTH GRANVILLE,Cumberland,2018-10-25,MMM PTY LTD,,168 CLYDE STREET SOUTH GRANVILLE 2142,11339 - Fail to comply with Food Standards Code - Corporation,Fail to take all practicable measures to eradicate and prevent the harbourage of pests - previous warning given,880
3120312260,ACHILLEON TAKEAWAY,KINGS LANGLEY,Blacktown,2018-02-21,"SAO, SOTHY",,125-135 JAMES COOK DRIVE KINGS LANGLEY 2147,11338 - Fail to comply with Food Standards Code - Individual,Fail to maintain at or near each hand washing facility a supply of - warm running water - previous warning given,440
3120312279,ACHILLEON TAKEAWAY,KINGS LANGLEY,Blacktown,2018-02-21,"THAI, VAN KHIEN",,125-135 JAMES COOK DRIVE KINGS LANGLEY 2166,11338 - Fail to comply with Food Standards Code - Individual,Fail to maintain at or near each hand washing facility a supply of - warm running water - previous warning given,440
7633044358,ADYAN GROCERIES,LAKEMBA,Canterbury-Bankstown,2018-04-26,SHM AUS PTY LTD,,38A HALDON STREET LAKEMBA 2195,11339 - Fail to comply with Food Standards Code - Corporation,Fail to have a temperature measuring device at the premises where potentially hazardous food is handled,880
7633044330,ADYAN GROCERIES,LAKEMBA,Canterbury-Bankstown,2018-04-26,SHM AUS PTY LTD,,38A HALDON STREET LAKEMBA 2195,11339 - Fail to comply with Food Standards Code - Corporation,Fail to maintain easily accessible hand washing facilities on the food premises - and fail to supply warm water and single use towels,880
7633044349,ADYAN GROCERIES,LAKEMBA,Canterbury-Bankstown,2018-04-26,SHM AUS PTY LTD,,38A HALDON STREET LAKEMBA 2195,11339 - Fail to comply with Food Standards Code - Corporation,Fail to ensure floors are able to be effectively cleaned,880
3081187818,AKIRA SUSHI,WINDSOR,Hawkesbury,2018-04-09,"LEE, JIHUN",,6 KABLE STREET WINDSOR 2756,11338 - Fail to comply with Food Standards Code - Individual,"Fail to, when processing food, take all necessary steps to prevent the likelihood of food being contaminated - previous warning given",440
3120311069,AKIRA SUSHI CAFE,SEVEN HILLS,Blacktown,2017-11-17,SJ FINE DINING PTY LTD,,224 PROSPECT HIGHWAY SEVEN HILLS 2147,11339 - Fail to comply with Food Standards Code - Corporation,Fail to maintain the food premises to the required standard of cleanliness - previous warning given,880
3120311078,AKIRA SUSHI CAFE,SEVEN HILLS,Blacktown,2017-11-17,SJ FINE DINING PTY LTD,,224 PROSPECT HIGHWAY SEVEN HILLS 2147,23086 - Not continue to have food safety supervisor for premises - Corporation,Fail to ensure that at least one food safety supervisor has been appointed for the premises - previous warning given,660
3108119805,AKIRA TEPPANYAKI,PENRITH,Penrith,2018-05-09,L & S FOOD SERVICES PTY LTD,,19 LAWSON STREET PENRITH 2750,11339 - Fail to comply with Food Standards Code - Corporation,"Fail to maintain the premises and all fixtures, fittings and equipment to the required standard of cleanliness",880
3161225192,AL BARAKA QUALITY MEATS,FAIRFIELD,Fairfield,2018-05-22,TEEBA HALAL MEAT PTY LTD,,SHOP 35 8-36 STATION STREET Fairfield 2165,11341 - Sell food that fails to comply with the Food Standards Code - Corporation,Sale of food found to contain preservative (sulphur dioxide) that exceeds permitted level - Lamb mince,880
3161225183,AL BARAKA QUALITY MEATS,FAIRFIELD,Fairfield,2018-05-22,TEEBA HALAL MEAT PTY LTD,,SHOP 35 8-36 STATION STREET Fairfield 2165,11341 - Sell food that fails to comply with the Food Standards Code - Corporation,Sale of food found to contain preservative (sulphur dioxide) that exceeds permitted level - Coarse mince,880
3161225210,AL BARAKA QUALITY MEATS,FAIRFIELD,Fairfield,2018-05-22,TEEBA HALAL MEAT PTY LTD,,SHOP 35 8-36 STATION STREET Fairfield 2165,11341 - Sell food that fails to comply with the Food Standards Code - Corporation,Sale of food found to contain preservative (sulphur dioxide) that exceeds permitted level - Diced lamb,880
3161225201,AL BARAKA QUALITY MEATS,FAIRFIELD,Fairfield,2018-05-22,TEEBA HALAL MEAT PTY LTD,,SHOP 35 8-36 STATION STREET Fairfield 2165,11341 - Sell food that fails to comply with the Food Standards Code - Corporation,Sale of food found to contain preservative (sulphur dioxide) that exceeds permitted level - Diced beef,880
3107292495,AL MAIDAH CAFE & RESTAURANT,ROCKDALE,Bayside,2018-02-23,TAGWAH GROUP PTY LTD,,22 FREDERICK STREET ROCKDALE 2216,11339 - Fail to comply with Food Standards Code - Corporation,Fail to take all practicable measures to eradicate and prevent the harbourage of pests,880
3107290506,AL MAIDAH CAFE & RESTAURANT,ROCKDALE,Bayside,2018-02-23,TAQWAH GROUP PTY LTD,,22 FREDERICK STREET ROCKDALE 2216,11339 - Fail to comply with Food Standards Code - Corporation,Fail to maintain the food premises to the required standard of cleanliness,880
7633044385,AL-AWAFI CHARCOAL CHICKEN,PUNCHBOWL,Canterbury-Bankstown,2018-05-07,CHALK INVESTMENTS PTY LTD,,7 BREUST PLACE PUNCHBOWL 2196,11339 - Fail to comply with Food Standards Code - Corporation,Fail to take all practicable measures to eradicate and prevent the harbourage of pests,880
3139661095,ALBEE'S KITCHEN,KINGSFORD,Randwick,2018-01-31,ALBEE'S KITCHEN PTY LTD,,470-472 ANZAC PARADE KINGSFORD 2032,11339 - Fail to comply with Food Standards Code - Corporation,Fail to take all practicable measures to eradicate and prevent the harbourage of pests - previous warnings given,880
3081593341,ALDI,WAGGA WAGGA,Wagga Wagga,2018-07-06,ALDI FOODS PTY LTD,,15-27 BERRY STREET WAGGA WAGGA 2650,11339 - Fail to comply with Food Standards Code - Corporation,Fail to maintain the food premises to the required standard of cleanliness,880
3170893990,ALI BABA,WARRIEWOOD,Northern Beaches,2018-01-25,AROUSH AUSTRALIA PTY LTD,,"WARRIEWOOD SWUARE, 12 JACKSONS ROAD WARRIEWOOD 2102",11339 - Fail to comply with Food Standards Code - Corporation,Fail to take all practicable measures to eradicate and prevent the harbourage of pests,880
3149268688,ALI DINE IN & TAKEAWAY,LAKEMBA,Canterbury-Bankstown,2018-07-12,ALI DINE INN & TAKE AWAY PTY LTD,,158 HALDON STREET LAKEMBA 2195,11339 - Fail to comply with Food Standards Code - Corporation,"Fail to, when processing food, take all necessary steps to prevent the likelihood of food being contaminated - previous warnings given",880
3181609100,ALI DINE INN AND TAKE AWAY,LAKEMBA,Canterbury-Bankstown,2018-10-31,ALI DINE INN AND TAKE AWAY PTY LTD,,156 HALDON STREET LAKEMBA 2195,11339 - Fail to comply with Food Standards Code - Corporation,Fail to display potentially hazardous food under temperature control - previous warnings given,880
3149262986,ALI SUPERMARKET,LAKEMBA,Canterbury-Bankstown,2018-02-01,ALI SUPERMARKET PTY LTD,,160 HALDON STREET LAKEMBA 2195,11339 - Fail to comply with Food Standards Code - Corporation,Fail to display potentially hazardous food under temperature control - previous warning given,880
3149268046,ALI SUPERMARKET,LAKEMBA,Canterbury-Bankstown,2018-02-01,ALI SUPERMARKET PTY LTD,,160 HALDON STREET LAKEMBA 2195,11343 - Sell food packaged/labelled contravening Food Standards Code - Corporation,Sale of food labelled in contravention to Food Standards Code - previous warning given,880
3107290780,ALL INDIAN FLAVOUR,KINGSGROVE,Bayside,2018-09-06,BISMILLAH AUS COMPANY PTY LTD,,282 KINGSGROVE ROAD KINGSGROVE 2208,11339 - Fail to comply with Food Standards Code - Corporation,Fail to take all practicable measures to eradicate and prevent the harbourage of pests,880
3145380471,ALLANS TAKEAWAY,TELOPEA,Parramatta,2018-01-17,ALLAN'S TAKEAWAY PTY LTD,,10 BENAUD PLACE TELOPEA 2117,11339 - Fail to comply with Food Standards Code - Corporation,"Fail to maintain all fixtures, fittings and equipment to the required standard of cleanliness",880
3145380462,ALLANS TAKEAWAY,TELOPEA,Parramatta,2018-01-17,ALLAN'S TAKEAWAY PTY LTD,,10 BENAUD PLACE TELOPEA 2117,11339 - Fail to comply with Food Standards Code - Corporation,Fail to store potentially hazardous food under temperature control,880
7250550479,ALLIANZ STADIUM,MOORE PARK,City of Sydney,2018-04-17,DELAWARE NORTH COMPANIES AUSTRALIA PTY LTD,,44 DRIVER AVENUE MOORE PARK 2021,11339 - Fail to comply with Food Standards Code - Corporation,Fail to take all practicable measures to eradicate and prevent the harbourage of pests - previous warnings given,880
7250550460,ALLIANZ STADIUM,MOORE PARK,City of Sydney,2018-04-17,DELAWARE NORTH COMPANIES AUSTRALIA PTY LTD,,44 DRIVER AVENUE MOORE PARK 2021,11339 - Fail to comply with Food Standards Code - Corporation,Fail to ensure food contact surfaces of equipment is in a clean and sanitary condition - previous warnings given,880
3161225174,AL-MEMMAR BUTCHERY,AUBURN,Cumberland,2018-04-10,"AL-MEMMAR, HUSSAIN",,84A AUBURN ROAD AUBURN 2144,11015 - Handle/sell food so as to contravene the food safety scheme - Individual,Fail to maintain the food premises to the required standard of cleanliness - previous warning given,660
3161225165,AL-MEMMAR BUTCHERY,AUBURN,Cumberland,2018-04-10,"AL-MEMMAR, HUSSAIN",,84A AUBURN ROAD AUBURN 2144,11016 - Contravene condition of licence - Individual,Fail to comply with a condition of licence - previous warning given,660
3175922054,AMBIS INDIAN FOOD AND SWEETS,PENDLE HILL,Cumberland,2018-05-04,SRI RADHA AMBIKA PTY LTD,,138 PENDLE WAY PENDLE HILL 2145,11359 - Fail to comply with a prohibition order - Corporation,Fail to comply with a prohibition order,1540
3148446620,ARMIDALE COFFEE HOUSE,ARMIDALE,Armidale,2018-09-04,ARAM CORPORATION PTY LTD,,197 BEARDY STREET ARMIDALE 2350,11339 - Fail to comply with Food Standards Code - Corporation,"Fail to ensure fixtures, fittings and equipment are adequate for the production of safe and suitable food, and fit for their intended use - previous warnings given",880
3148446658,ARMIDALE COFFEE HOUSE,ARMIDALE,Armidale,2018-09-19,ARAM CORPORATION PTY LTD,,197 BEARDY STREET ARMIDALE 2350,11339 - Fail to comply with Food Standards Code - Corporation,Fail to maintain the food premises to the required standard of cleanliness - previous warnings given,880
3148377330,AROY THAI,BAULKHAM HILLS,The Hills,2018-01-16,KHAKH PTY LTD,,"SHOP 3, 6-10 OLD NORTHERN ROAD BAULKHAM HILLS 2153",11339 - Fail to comply with Food Standards Code - Corporation,Fail to maintain the food premises to the required standard of cleanliness,880
3148377358,AROY THAI,BAULKHAM HILLS,The Hills,2018-01-16,KHAKH PTY LTD,,"SHOP 3, 6-10 OLD NORTHERN ROAD BAULKHAM HILLS 2153",11339 - Fail to comply with Food Standards Code - Corporation,Fail to take all practicable measures to eradicate and prevent the harbourage of pests,880
3161224770,ARQUILLA,LEICHHARDT,Inner West,2018-02-02,ARQUILLA BULK TRADING PTY LTD,,159 ALLEN STREET Leichhardt 2040,11343 - Sell food packaged/labelled contravening Food Standards Code - Corporation,Sale of food labelled in contravention to Food Standards Code,880
3161224761,ARQUILLA,LEICHHARDT,Inner West,2018-02-02,ARQUILLA BULK TRADING PTY LTD,,159 ALLEN STREET Leichhardt 2040,11343 - Sell food packaged/labelled contravening Food Standards Code - Corporation,Sale of food labelled in contravention to Food Standards Code - did not declare the name and business address of the supplier of the food,880
3120336387,ARTISAN CAFE,SEVEN HILLS,Blacktown,2017-09-28,"OU, SHAO WEI",,3 ARTISAN ROAD SEVEN HILLS 2147,11338 - Fail to comply with Food Standards Code - Individual,Fail to maintain the food premises to the required standard of cleanliness - previous warning given,440
3120336396,ARTISAN CAFE,SEVEN HILLS,Blacktown,2017-09-28,"OU, SHAO WEI",,3 ARTISAN ROAD SEVEN HILLS 2147,11338 - Fail to comply with Food Standards Code - Individual,Fail to maintain easily accessible hand washing facilities on the food premises - previous warning given,440
3120311911,ARTISAN CAFE,SEVEN HILLS,Blacktown,2018-01-30,"OU, SHAO WEI",,3 ARTISAN ROAD SEVEN HILLS 2147,11338 - Fail to comply with Food Standards Code - Individual,Fail to have hand washing facilities that are located where they can be easily accessed by food handlers within areas where food handlers work - previous warning given,440
3120311920,ARTISAN CAFE,SEVEN HILLS,Blacktown,2018-01-30,"OU, SHAO WEI",,3 ARTISAN ROAD SEVEN HILLS 2147,11338 - Fail to comply with Food Standards Code - Individual,"Fail to ensure fixtures and fittings are designed, constructed, located and installed so that they are able to be effectively cleaned - previous warning given",440
3031086080,ASHCROFT'S SUPA IGA,MOSS VALE,Wingecarribee,2018-03-09,ASHCROFT'S SUPA IGA MOSS VALE PTY LTD,,11 CLARENCE STREET MOSS VALE 2577,11339 - Fail to comply with Food Standards Code - Corporation,Fail to display potentially hazardous food under temperature control - previous warnings given,880
3149268540,ASHIN SUSHI TRAIN,CAMPSIE,Canterbury-Bankstown,2018-05-17,PARK & K PTY LTD,,161 BEAMISH STREET CAMPSIE 2194,11339 - Fail to comply with Food Standards Code - Corporation,"Fail to maintain all fixtures, fittings and equipment to the required standard of cleanliness",880
3149268531,ASHIN SUSHI TRAIN,CAMPSIE,Canterbury-Bankstown,2018-05-17,PARK & K PTY LTD,,161 BEAMISH STREET CAMPSIE 2194,11339 - Fail to comply with Food Standards Code - Corporation,Fail to display potentially hazardous food under temperature control - previous warnings given,880
3149268550,ASHIN SUSHI TRAIN,CAMPSIE,Canterbury-Bankstown,2018-05-17,PARK & K PTY LTD,,161 BEAMISH STREET CAMPSIE 2194,11339 - Fail to comply with Food Standards Code - Corporation,Fail to maintain easily accessible hand washing facilities on the food premises,880
3149268569,ASHIN SUSHI TRAIN,CAMPSIE,Canterbury-Bankstown,2018-05-17,PARK & K PTY LTD,,161 BEAMISH STREET CAMPSIE 2194,11339 - Fail to comply with Food Standards Code - Corporation,Fail to have a temperature measuring device at the premises where potentially hazardous food is handled,880
3181609054,ASHIN SUSHI TRAIN,CAMPSIE,Canterbury-Bankstown,2018-10-25,PARK AND K PTY LTD,,161 BEAMISH STREET CAMPSIE 2194,11339 - Fail to comply with Food Standards Code - Corporation,Fail to store food in such a way that it is protected from the likelihood of contamination,880
3181609045,ASHIN SUSHI TRAIN,CAMPSIE,Canterbury-Bankstown,2018-10-25,PARK AND K PTY LTD,,161 BEAMISH STREET CAMPSIE 2164,11339 - Fail to comply with Food Standards Code - Corporation,Fail to display potentially hazardous food under temperature control - previous warnings given,880
3120312690,ASIAN FOOD MARKET,BLACKTOWN,Blacktown,2018-03-19,SHINSUN GROUP PTY LTD,,1 GEORGE STREET BLACKTOWN 2148,11339 - Fail to comply with Food Standards Code - Corporation,Sale of food past its use-by date,880
7250550084,ASIAN SCHOOL CAFE,HAYMARKET,City of Sydney,2018-02-05,JZ HOLDINGS PTY LTD,,"SHOP 12, 1 EDDY AVENUE HAYMARKET 2000",11339 - Fail to comply with Food Standards Code - Corporation,"Fail to maintain all fixtures, fittings and equipment to the required standard of cleanliness - previous warning given",880
7250550075,ASIAN SCHOOL CAFE,HAYMARKET,City of Sydney,2018-02-05,JZ HOLDINGS PTY LTD,,"SHOP 12, 1 EDDY AVENUE HAYMARKET 2000",11339 - Fail to comply with Food Standards Code - Corporation,Fail to store potentially hazardous food under temperature control - previous warning given,880
7250548315,AT HOME THAI,GLEBE,City of Sydney,2018-02-23,MY MOM MADE PTY LTD,,27 GLEBE POINT ROAD GLEBE 2037,11339 - Fail to comply with Food Standards Code - Corporation,Fail to take all practicable measures to eradicate and prevent the harbourage of pests,880
7250548324,AT HOME THAI,GLEBE,City of Sydney,2018-02-23,MY MOM MADE PTY LTD,,27 GLEBE POINT ROAD GLEBE 2037,11339 - Fail to comply with Food Standards Code - Corporation,"Fail to maintain all fixtures, fittings and equipment to the required standard of cleanliness",880
3120312059,A-TEAMS KITCHEN,ROOTY HILL,Blacktown,2018-02-16,"ACOSTA, ROSEMARIE",,52 ROOTY HILL ROAD NORTH ROOTY HILL 2766,11338 - Fail to comply with Food Standards Code - Individual,"Fail to, when processing food, take all necessary steps to prevent the likelihood of food being contaminated - previous warning given",440
3175922009,AUBURN SEAFOOD,AUBURN,Cumberland,2018-05-01,AUSTAR INVESTMENT GROUP PTY LTD,,"SHOP Q17, 62-72 QUEEN STREET AUBURN 2144",11339 - Fail to comply with Food Standards Code - Corporation,Fail to maintain at or near each hand washing facility a supply of - soap - previous warnings given,880
3175921990,AUBURN SEAFOOD,AUBURN,Cumberland,2018-05-01,AUSTAR INVESTMENT GROUP PTY LTD,,"SHOP Q17, 62-72 QUEEN STREET AUBURN 2144",11339 - Fail to comply with Food Standards Code - Corporation,Fail to ensure food contact surfaces of equipment is in a clean and sanitary condition - previous warning given,880
3170888005,AVALON CHINESE RESTAURANT,AVALON,Northern Beaches,2018-02-20,"YAN, WEIYI",,STE 6 1ST FLOOR BAREFOOT BOULEVARDE OLD BARRENJOEY ROAD AVALON 2107,11338 - Fail to comply with Food Standards Code - Individual,"Fail to ensure eating and drinking utensits, and food contact surfaces of equipment, are in a clean and sanitary condition",440
3170887978,AVALON CHINESE RESTAURANT,AVALON,Northern Beaches,2018-02-20,"YAN, WEIYI",,STE 6 1ST FLOOR BAREFOOT BOULEVARDE OLD BARRENJOEY ROAD AVALON 2107,11338 - Fail to comply with Food Standards Code - Individual,Fail to maintain the food premises to the required standard of cleanliness - previous warnings given,440
3170887996,AVALON CHINESE RESTAURANT,AVALON,Northern Beaches,2018-02-20,"YAN, WEIYI",,STE 6 1ST FLOOR BAREFOOT BOULEVARDE OLD BARRENJOEY ROAD AVALON 2107,11338 - Fail to comply with Food Standards Code - Individual,Fail to store food in such a way that it is protected from the likelihood of contamination - previous warnings given,440
3170887987,AVALON CHINESE RESTAURANT,AVALON,Northern Beaches,2018-02-20,"YAN, WEIYI",,STE 6 1ST FLOOR BAREFOOT BOULEVARDE OLD BARRENJOEY ROAD AVALON 2107,11338 - Fail to comply with Food Standards Code - Individual,"Fail to maintain all fixtures, fittings and equipment to the required standard of cleanliness - previous warnings given",440
3149268138,AWESOME THAI,REVESBY,Canterbury-Bankstown,2018-02-06,AWESOME THAI PTY LTD,,"SHOP 10, 19 MARCO AVENUE REVESBY 2212",11339 - Fail to comply with Food Standards Code - Corporation,"Fail to maintain all fixtures, fittings and equipment to the required standard of cleanliness - previous warning given",880
7250552412,B L BURGERS,DARLINGHURST,City of Sydney,2018-05-29,B L BURGERS PTY LTD,,151-151A OXFORD STREET DARLINGHURST 2010,11339 - Fail to comply with Food Standards Code - Corporation,Fail to maintain the food premises to the required standard of cleanliness,880
3161225349,BABUSHKA'S KEFIR,BOTANY,Bayside,2018-05-02,ELAL MARKETING PTY LTD,,13 BAY STREET Botany 2019,11339 - Fail to comply with Food Standards Code - Corporation,Fail to take all practicable measures to eradicate and prevent the harbourage of pests - previous warning given,880
3161225358,BABUSHKA'S KEFIR,BOTANY,Bayside,2018-05-02,ELAL MARKETING PTY LTD,,13 BAY STREET Botany 2019,11339 - Fail to comply with Food Standards Code - Corporation,Fail to maintain the food premises to the required standard of cleanliness - previous warning given,880
3161225367,BABUSHKA'S KEFIR,BOTANY,Bayside,2018-05-02,ELAL MARKETING PTY LTD,,13 BAY STREET Botany 2019,11339 - Fail to comply with Food Standards Code - Corporation,"Fail to maintain all fixtures, fittings and equipment to the required standard of cleanliness - previous warning given",880
3181609229,BAKDOSAN CHARCOAL B.B.Q.,CAMPSIE,Canterbury-Bankstown,2018-11-22,"PIAO, YINGJI",,341 BEAMISH STREET CAMPSIE 2194,11338 - Fail to comply with Food Standards Code - Individual,Fail to take all practicable measures to eradicate and prevent the harbourage of pests,440
3181609210,BAKDOSAN CHARCOAL B.B.Q.,CAMPSIE,Canterbury-Bankstown,2018-11-22,"PIAO, YINGJI",,341 BEAMISH STREET CAMPSIE 2194,11338 - Fail to comply with Food Standards Code - Individual,"Fail to maintain all fixtures, fittings and equipment to the required standard of cleanliness - previous warning given",440
3120571906,BAKERS CHOICE,MACQUARIE FIELDS,Campbelltown,2018-01-04,CH HOLDINGS PTY LTD,,"SHOP 84-85, 60 HAROLD STREET Macquarie Fields 2564",11339 - Fail to comply with Food Standards Code - Corporation,Sale of food past its use-by date,880
3120570420,BAKERS CHOICE,MACQUARIE FIELDS,Campbelltown,2018-08-01,CH HOLDINGS PTY LTD,,60 HAROLD STREET MACQUARIE FIELDS 2564,11339 - Fail to comply with Food Standards Code - Corporation,"Fail to maintain all fixtures, fittings and equipment to the required standard of cleanliness - previous warning given",880
3120570411,BAKERS CHOICE,MACQUARIE FIELDS,Campbelltown,2018-08-01,CH HOLDINGS PTY LTD,,60 HAROLD STREET MACQUARIE FIELDS 2564,11339 - Fail to comply with Food Standards Code - Corporation,Fail to maintain at or near each hand washing facility a supply of - single use towel - previous warning given,880
3120570402,BAKERS CHOICE,MACQUARIE FIELDS,Campbelltown,2018-08-01,CH HOLDINGS PTY LTD,,60 HAROLD STREET MACQUARIE FIELDS 2564,11359 - Fail to comply with a prohibition order - Corporation,Fail to comply with a prohibition order,1540
3149886163,BAKERS CHOICE MOUNT ANNAN,MOUNT ANNAN,Camden,2018-05-14,ANNASTELLA PTY LTD,,SHOP 3 / 11-13 MAIN STREET MOUNT ANNAN 2168,11339 - Fail to comply with Food Standards Code - Corporation,Fail to maintain the food premises to the required standard of cleanliness,880
3149886154,BAKERS CHOICE MOUNT ANNAN,MOUNT ANNAN,Camden,2018-05-14,ANNASTELLA PTY LTD,,SHOP 3 / 11-13 MAIN STREET MOUNT ANNAN 2567,11339 - Fail to comply with Food Standards Code - Corporation,Fail to take all practicable measures to eradicate and prevent the harbourage of pests,880
3149886172,BAKERS CHOICE MOUNT ANNAN,MOUNT ANNAN,Camden,2018-05-14,ANNASTELLA PTY LTD,,SHOP 3 / 11-13 MAIN STREET MOUNT ANNAN 2567,11339 - Fail to comply with Food Standards Code - Corporation,Fail to ensure food contact surfaces of equipment is in a clean and sanitary condition,880
3149886181,BAKERS CHOICE MOUNT ANNAN,MOUNT ANNAN,Camden,2018-05-14,ANNASTELLA PTY LTD,,SHOP 3 / 11-13 MAIN STREET MOUNT ANNAN 2567,11339 - Fail to comply with Food Standards Code - Corporation,Fail to store food in such a way that it is protected from the likelihood of contamination,880
